iter	RMSE
0	13.02484601
1	11.94693846
2	11.03878313
3	10.14806731
4	9.378660452
5	8.671767526
6	7.982718361
7	7.335476892
8	6.834939167
9	6.361282145
10	5.89679049
11	5.467727662
12	5.107320294
13	4.754140792
14	4.396835039
15	4.070975925
16	3.783949081
17	3.537599017
18	3.285265471
19	3.048390284
20	2.837715954
21	2.660576114
22	2.489391942
23	2.336273717
24	2.187340928
25	2.053195981
26	1.932567381
27	1.813820766
28	1.720726559
29	1.617756498
30	1.533429564
31	1.455415231
32	1.381981199
33	1.308548779
34	1.25538909
35	1.199453385
36	1.144323108
37	1.097921415
38	1.05617384
39	1.018828922
40	0.9888390972
41	0.9568600273
42	0.9274712699
43	0.898269031
44	0.8762061871
45	0.8547344368
46	0.8319231434
47	0.815659594
48	0.7986717847
49	0.7896009806
50	0.773353547
51	0.7643601917
52	0.7508929375
53	0.7392055303
54	0.7357015487
55	0.7327986793
56	0.7222606016
57	0.7191754009
58	0.7077534612
59	0.6977902396
60	0.6918198264
61	0.6842682586
62	0.6813892945
63	0.674826691
64	0.6678992944
65	0.6657854073
66	0.6579876808
67	0.6520366333
68	0.6499418474
69	0.6453620183
70	0.6404348665
71	0.6388269283
72	0.6374043411
73	0.6332244577
74	0.6297295147
75	0.6254914555
76	0.624086008
77	0.6208020151
78	0.6196497711
79	0.6184532837
80	0.6153408373
81	0.6122711653
82	0.6113342374
83	0.6103691937
84	0.6085362806
85	0.6068630859
86	0.6060583988
87	0.6053803378
88	0.6032869901
89	0.6026269968
90	0.602005977
91	0.6001314203
92	0.5995290203
93	0.5963798273
94	0.5942292557
95	0.5937240737
96	0.5924055156
97	0.5904338849
98	0.5899715147
99	0.5894951932
100	0.5890747457
101	0.5887089648
102	0.5874445578
103	0.5854017989
104	0.5811906587
105	0.5772498121
106	0.5766703776
107	0.5763691358
108	0.5754175049
109	0.5715941314
110	0.5691433661
111	0.5674744405
112	0.5639910108
113	0.5635526316
114	0.5624926348
115	0.5622497567
116	0.5607894585
117	0.5584752504
118	0.5572521006
119	0.556822915
120	0.5538084097
121	0.5511252266
122	0.5486668018
123	0.545382874
124	0.5432768699
125	0.539490313
126	0.5368410375
127	0.5353898996
128	0.5328738826
129	0.5318226704
130	0.5300550948
131	0.52786681
132	0.5263186868
133	0.5240686583
134	0.5226091802
135	0.519444778
136	0.5183125405
137	0.5145337349
138	0.5120673744
139	0.5094009225
140	0.5053633346
141	0.5044375558
142	0.502146226
143	0.5005686988
144	0.4987844697
145	0.4961454042
146	0.4924858256
147	0.4897462595
148	0.4877687825
149	0.485432442
150	0.4810620897
151	0.4799309896
152	0.4789255503
153	0.4778769216
154	0.4756039002
155	0.4733068127
156	0.4711523121
157	0.4700250729
158	0.4689348967
159	0.4669593387
160	0.4652787875
161	0.464001905
162	0.4628393925
163	0.4618502435
164	0.457880215
165	0.456634777
166	0.4551668362
167	0.4529545855
168	0.4504971087
169	0.4483838254
170	0.4447032688
171	0.4436133478
172	0.4425480893
173	0.4411926285
174	0.4405158566
175	0.4382351544
176	0.4370575725
177	0.4350506928
178	0.4345365047
179	0.4333786733
180	0.4313534404
181	0.4303158717
182	0.4293233951
183	0.4286979394
184	0.4279619679
185	0.4264260889
186	0.4248043741
187	0.4244267612
188	0.4211626244
189	0.4191139182
190	0.4174270435
191	0.4167415632
192	0.4149208057
193	0.4136739044
194	0.4117637054
195	0.4100406877
196	0.408658492
197	0.4058801519
198	0.4039801598
199	0.4025960586
200	0.4017704456
201	0.4010052592
202	0.399018869
203	0.3971444904
204	0.3964928659
205	0.393898597
206	0.3929890059
207	0.3922452735
208	0.3910847967
209	0.3901992729
210	0.3891621066
211	0.3881103591
212	0.3875979756
213	0.3858631008
214	0.3845219418
215	0.3834214291
216	0.3818136061
217	0.3808108395
218	0.3783020079
219	0.377162511
220	0.3758803828
221	0.3754562234
222	0.3741976056
223	0.3720747338
224	0.3710426765
225	0.3702079877
226	0.3696018546
227	0.3688227599
228	0.3667531605
229	0.3662507632
230	0.3650853372
231	0.3635841471
232	0.3627331157
233	0.3614740802
234	0.359198387
235	0.3588045065
236	0.3580849318
237	0.3568047572
238	0.3563751552
239	0.3546585203
240	0.3540655041
241	0.3530689778
242	0.3520854171
243	0.3506634519
244	0.3499299579
245	0.3489183381
246	0.34780155
247	0.3469445523
248	0.3463341217
249	0.3457009946
250	0.3436696598
251	0.3424014352
252	0.3415176477
253	0.3409875784
254	0.3405385276
255	0.339788562
256	0.3379694472
257	0.3363536744
258	0.3353085537
259	0.334063758
260	0.3326994335
261	0.3310092973
262	0.3302607809
263	0.3293132376
264	0.3287257394
265	0.3274731474
266	0.3269168376
267	0.3255781132
268	0.3247416184
269	0.3237655913
270	0.3230258834
271	0.322373463
272	0.3217970516
273	0.3209221789
274	0.3202972265
275	0.3184864731
276	0.3180743213
277	0.3171029829
278	0.3163246126
279	0.3148491681
280	0.3146157634
281	0.3134188711
282	0.3119068103
283	0.3109650827
284	0.310375141
285	0.3095347908
286	0.3090971803
287	0.3084111038
288	0.3074206665
289	0.3063940999
290	0.3058824565
291	0.3056069557
292	0.3052778834
293	0.3043613542
294	0.3040234105
295	0.3029198772
296	0.3019037434
297	0.3008561308
298	0.2991768497
299	0.298323559
300	0.2980028897
