iter	Passed	Remaining
0	103	51482
1	105	26171
2	107	17766
3	109	13556
4	111	10992
5	112	9300
6	114	8075
7	116	7162
8	118	6450
9	119	5865
10	120	5365
11	122	4982
12	123	4627
13	124	4334
14	126	4101
15	128	3882
16	130	3699
17	132	3541
18	134	3398
19	136	3269
20	138	3156
21	140	3058
22	142	2964
23	145	2876
24	146	2791
25	147	2692
26	148	2607
27	149	2516
28	150	2446
29	152	2383
30	153	2320
31	154	2258
32	155	2203
33	156	2146
34	157	2096
35	158	2047
36	159	1997
37	160	1955
38	161	1911
39	162	1868
40	162	1823
41	163	1779
42	163	1738
43	163	1698
44	164	1661
45	164	1624
46	164	1589
47	165	1556
48	165	1524
49	165	1493
50	166	1464
51	166	1436
52	167	1408
53	167	1382
54	167	1356
55	167	1331
56	168	1307
57	168	1285
58	168	1263
59	169	1242
60	169	1223
61	170	1203
62	170	1184
63	171	1166
64	171	1148
65	172	1131
66	172	1114
67	172	1097
68	173	1081
69	173	1065
70	173	1050
71	174	1035
72	174	1020
73	174	1005
74	175	992
75	175	978
76	175	965
77	176	952
78	176	940
79	176	928
80	177	916
81	177	904
82	177	893
83	178	882
84	178	871
85	178	861
86	179	850
87	179	840
88	179	830
89	180	821
90	180	811
91	180	802
92	181	793
93	181	784
94	182	775
95	182	767
96	182	758
97	182	750
98	183	742
99	183	734
100	183	726
101	184	719
102	184	711
103	185	704
104	185	697
105	185	690
106	186	683
107	186	676
108	186	669
109	187	663
110	187	657
111	187	650
112	188	644
113	188	638
114	188	632
115	189	626
116	189	620
117	190	615
118	190	609
119	190	603
120	191	598
121	191	593
122	191	587
123	192	582
124	192	577
125	192	572
126	193	567
127	193	562
128	193	557
129	194	553
130	194	548
131	194	543
132	195	539
133	195	534
134	196	530
135	196	526
136	196	521
137	197	517
138	197	513
139	198	509
140	198	505
141	198	501
142	199	497
143	199	493
144	199	489
145	200	485
146	200	481
147	200	477
148	201	474
149	201	470
150	202	466
151	202	463
152	202	459
153	203	456
154	203	452
155	203	449
156	204	446
157	204	442
158	205	439
159	205	436
160	205	433
161	206	430
162	207	428
163	207	425
164	207	422
165	208	419
166	208	416
167	209	413
168	209	410
169	210	407
170	210	404
171	210	402
172	211	399
173	211	396
174	212	393
175	212	391
176	212	388
177	213	386
178	213	383
179	214	380
180	214	378
181	215	375
182	215	373
183	215	370
184	216	368
185	216	365
186	217	363
187	217	360
188	217	358
189	218	355
190	218	353
191	218	351
192	219	348
193	219	346
194	219	343
195	220	341
196	220	339
197	221	337
198	221	334
199	221	332
200	222	330
201	222	328
202	222	326
203	223	324
204	223	321
205	224	319
206	224	317
207	224	315
208	225	313
209	225	311
210	226	309
211	226	307
212	226	305
213	227	303
214	227	301
215	228	299
216	228	297
217	228	296
218	229	294
219	229	292
220	230	290
221	230	288
222	230	286
223	231	284
224	231	282
225	231	281
226	232	279
227	232	277
228	232	275
229	233	273
230	233	272
231	234	270
232	234	268
233	234	266
234	235	265
235	235	263
236	235	261
237	236	259
238	236	258
239	236	256
240	237	254
241	237	253
242	237	251
243	238	249
244	238	248
245	238	246
246	239	245
247	239	243
248	240	242
249	240	240
250	240	238
251	241	237
252	241	235
253	241	234
254	242	232
255	242	231
256	243	229
257	243	228
258	243	226
259	244	225
260	244	223
261	244	222
262	245	221
263	245	219
264	245	218
265	246	216
266	246	215
267	247	213
268	247	212
269	247	211
270	248	209
271	248	208
272	248	206
273	249	205
274	249	204
275	249	202
276	250	201
277	250	200
278	251	198
279	251	197
280	251	196
281	252	194
282	252	193
283	252	192
284	253	191
285	253	189
286	253	188
287	254	187
288	254	185
289	255	184
290	255	183
291	255	182
292	256	180
293	256	179
294	256	178
295	257	177
296	257	176
297	257	174
298	258	173
299	258	172
300	259	171
301	259	170
302	259	168
303	260	167
304	260	166
305	261	165
306	261	164
307	261	163
308	262	162
309	262	160
310	262	159
311	263	158
312	263	157
313	264	156
314	264	155
315	265	154
316	265	153
317	265	152
318	266	151
319	266	150
320	267	149
321	267	147
322	268	146
323	268	145
324	268	144
325	269	143
326	269	142
327	270	141
328	270	140
329	270	139
330	271	138
331	271	137
332	272	136
333	272	135
334	273	134
335	273	133
336	273	132
337	274	131
338	274	130
339	275	129
340	275	128
341	275	127
342	276	126
343	276	125
344	276	124
345	277	123
346	277	122
347	277	121
348	278	120
349	278	119
350	279	118
351	279	117
352	279	116
353	280	115
354	280	114
355	280	113
356	281	112
357	281	111
358	281	110
359	282	109
360	282	108
361	282	107
362	283	106
363	283	106
