iter	Passed	Remaining
0	1	1016
1	2	1002
2	2	957
3	3	956
4	4	946
5	5	907
6	6	889
7	7	874
8	7	877
9	8	880
10	9	872
11	10	864
12	11	864
13	12	865
14	13	860
15	13	858
16	14	846
17	15	838
18	16	832
19	16	826
20	17	825
21	18	812
22	18	804
23	19	802
24	20	799
25	21	796
26	22	796
27	23	800
28	24	809
29	24	806
30	25	803
31	26	798
32	27	796
33	27	791
34	28	789
35	29	786
36	30	783
37	30	781
38	31	779
39	32	775
40	33	772
41	33	768
42	34	768
43	35	765
44	36	764
45	36	761
46	37	760
47	38	760
48	39	760
49	39	758
50	40	756
51	41	756
52	42	753
53	42	751
54	43	749
55	44	748
56	45	746
57	45	744
58	46	741
59	47	740
60	47	738
61	48	736
62	49	734
63	50	734
64	50	733
65	51	732
66	53	742
67	54	743
68	55	743
69	55	742
70	56	742
71	57	740
72	58	739
73	59	738
74	59	738
75	60	736
76	61	734
77	61	732
78	62	730
79	63	729
80	64	728
81	64	726
82	65	724
83	66	723
84	67	722
85	67	720
86	68	719
87	69	722
88	70	723
89	71	725
90	72	724
91	73	723
92	74	722
93	74	721
94	75	720
95	76	719
96	77	718
97	77	717
98	78	715
99	79	715
100	80	714
101	81	713
102	81	711
103	82	709
104	83	708
105	83	707
106	84	707
107	85	707
108	86	707
109	87	706
110	88	705
111	88	704
112	89	702
113	90	701
114	90	699
115	91	698
116	92	696
117	93	695
118	93	693
119	94	691
120	95	690
121	95	689
122	96	688
123	97	688
124	98	687
125	99	686
126	99	686
127	100	686
128	101	686
129	102	687
130	103	686
131	104	685
132	104	683
133	105	682
134	106	680
135	106	679
136	107	678
137	108	677
138	109	675
139	109	674
140	110	672
141	111	671
142	111	668
143	112	667
144	112	666
145	113	665
146	114	665
147	115	665
148	116	665
149	117	664
150	117	663
151	118	660
152	119	659
153	119	657
154	120	656
155	121	655
156	121	653
157	122	652
158	123	650
159	123	649
160	124	646
161	124	643
162	125	642
163	125	640
164	126	639
165	126	637
166	127	636
167	128	636
168	129	636
169	130	636
170	131	635
171	131	634
172	132	632
173	132	630
174	133	629
175	134	628
176	134	627
177	135	625
178	136	624
179	136	623
180	137	621
181	138	620
182	138	619
183	139	618
184	139	616
185	140	615
186	141	613
187	141	613
188	142	612
189	143	611
190	144	610
191	144	610
192	145	607
193	146	607
194	146	605
195	147	603
196	147	601
197	148	600
198	148	598
199	148	595
200	149	594
201	150	593
202	150	592
203	151	591
204	152	590
205	152	588
206	153	587
207	153	586
208	154	585
209	155	583
210	155	582
211	156	582
212	157	580
213	157	580
214	158	579
215	159	577
216	159	577
217	160	575
218	161	574
219	161	573
220	162	572
221	162	570
222	163	569
223	164	568
224	164	566
225	165	565
226	165	563
227	166	562
228	166	561
229	167	559
230	167	558
231	168	556
232	168	555
233	169	553
234	169	552
235	170	551
236	170	549
237	171	549
238	171	547
239	172	546
240	173	545
241	173	543
242	173	541
243	174	541
244	175	539
245	175	538
246	175	536
247	176	534
248	176	532
249	177	531
250	177	530
251	178	529
252	178	527
253	179	527
254	180	526
255	180	525
256	181	524
257	181	523
258	182	521
259	182	519
260	183	518
261	183	517
262	184	515
263	184	514
264	185	513
265	185	512
266	186	512
267	186	510
268	187	509
269	188	508
270	188	507
271	189	507
272	190	506
273	190	505
274	191	504
275	192	504
276	192	503
277	193	502
278	194	501
279	194	501
280	195	500
281	195	498
282	196	498
283	197	496
284	197	496
285	198	495
286	199	494
287	199	494
288	200	493
289	200	491
290	201	491
291	202	490
292	202	488
293	203	488
294	204	487
295	204	486
296	204	484
297	205	484
298	206	484
299	207	483
300	207	482
301	208	482
302	209	481
303	209	480
304	210	478
305	210	478
306	211	477
307	212	476
308	213	476
309	213	475
310	214	474
311	214	473
312	215	472
313	215	471
314	216	470
315	216	469
316	217	468
317	218	468
318	219	467
319	220	467
320	220	467
321	221	466
322	222	465
323	223	465
324	223	464
325	224	463
326	225	463
327	225	462
328	226	461
329	227	461
330	227	460
331	228	459
332	229	459
333	229	458
334	230	457
335	231	457
336	232	456
337	232	455
338	233	455
339	234	454
340	235	454
341	235	454
342	236	453
343	237	452
344	238	452
345	238	451
346	239	450
347	240	450
348	241	449
349	241	448
350	242	448
351	242	447
352	243	446
353	244	445
354	244	444
355	245	444
356	246	443
357	246	442
358	247	442
359	248	441
360	248	440
361	249	440
362	250	439
363	251	439
364	252	438
365	253	438
366	253	437
367	254	436
368	255	436
369	255	435
370	256	435
371	257	434
372	258	434
373	258	433
374	259	432
375	260	432
376	261	431
377	261	430
378	262	430
379	263	429
380	264	429
381	265	428
382	265	428
383	266	427
384	267	427
385	268	426
386	268	425
387	269	425
388	270	424
389	271	424
390	271	423
391	272	422
392	273	422
393	274	421
394	274	420
395	275	420
396	276	419
397	276	418
398	277	418
399	278	417
400	278	416
401	279	416
402	280	415
403	281	414
404	282	414
405	282	413
406	283	413
407	284	412
408	284	411
409	285	410
410	286	410
411	286	409
412	287	408
413	288	408
414	288	407
415	289	406
416	290	405
417	290	405
418	291	404
419	292	403
420	293	402
421	293	402
422	294	401
423	295	401
424	296	400
425	297	400
426	297	399
427	298	399
428	299	398
429	300	397
430	301	397
431	301	396
432	302	396
433	303	395
434	303	394
435	304	394
436	305	393
437	306	392
438	306	392
439	307	391
440	308	390
441	308	389
442	309	389
443	310	388
444	310	387
445	311	387
446	312	386
447	313	385
448	314	385
449	314	384
450	315	383
451	316	383
452	316	382
453	317	381
454	318	381
455	318	380
456	319	379
457	320	379
458	321	378
459	321	377
460	322	377
461	323	376
462	323	375
463	324	375
464	325	374
465	326	373
466	327	373
467	327	372
468	328	372
469	329	371
470	330	370
471	330	370
472	331	369
473	332	368
474	333	368
